id,artista,numero,musica,genero
2594,Lucas Lucco e Pabllo Vittar,30463,PARAÍSO,Pop/Funk BR
2595,Lucas Lucco part. Gusttavo Lima,33659,DISPUTA,Sertanejo
2596,Lucas Lucco part. Mc Bin Laden,15925,"TÁ TRANQUILO, TÁ FAVORÁVEL",Funk/Pop BR
2597,Lucas Reis & Thácio,30797,SE É PRA CHORAR EU CHORO,Sertanejo (dupla presumida)
2598,Luciana Mello,06164,ASSIM QUE SE FAZ,Desconhecido
2599,Luciana Mello,06274,SIMPLES DESEJO,Desconhecido
2600,Ludmilla,15881,24 HORAS POR DIA,Pop/Funk BR
2601,Ludmilla,33944,BOM,Pop/Funk BR
2602,Ludmilla,30133,CHEGUEI,Pop/Funk BR
2603,Ludmilla,33460,HOJE,Pop/Funk BR
2604,Ludmilla,33571,NÃO QUERO MAIS,Pop/Funk BR
2605,Ludmilla,33300,SEM QUERER,Pop/Funk BR
2606,Ludmilla,30563,SOLTA A BATIDA,Pop/Funk BR
2607,Ludmilla,33912,SOU EU,Pop/Funk BR
2608,Ludmilla,33539,TE ENSINEI CERTIN,Pop/Funk BR
2609,Ludmilla & Léo Santana,30798,INVOCADA,Pop/Funk BR
2610,Ludmilla part. Felipe Araújo,30693,CLICHÊ,Pop/Funk BR
2611,"Ludmilla, MC Doguinha, Mc Pupio",30621,DIN DIN DIN,Pop/Funk BR
2612,Luísa Sonza,30690,BOA MENINA,Desconhecido
2613,Luísa Sonza,30696,DEVAGARINHO,Desconhecido
2614,Luísa Sonza,30978,BRABA,Desconhecido
2615,Luísa Sonza & Pablo Vittar,30746,GARUPA,Pop/Funk BR
2616,Luísa Sonza & Vitão,30799,BOMBA RELÓGIO,Pop/Funk BR
2617,"Luísa Sonza, Anitta, Pabllo Vittar",31016,MODO TURBO,Pop/Funk BR
2618,Luiz Ayrão,03742,BOLA DIVIDIDA,Desconhecido
2619,Luiz Caldas,33486,AJAYO,Desconhecido
2620,Luiz Caldas,07463,TIETA,Desconhecido
2621,Luiz Caldas,07367,FRICOTE,Desconhecido
2622,Luiz Cláudio e Giuliano & Bruno e Marrone,09481,MEU SEGREDO,Sertanejo
2623,Luiz Gonzaga,03019,ASA BRANCA,Desconhecido
2624,Luiz Gonzaga,07302,ASSUM PRETO,Desconhecido
2625,Luiz Gonzaga,33641,AVE MARIA SERTANEJA,Desconhecido
2626,Luiz Gonzaga,30625,FORRÓ NO ESCURO,Desconhecido
2627,Luiz Gonzaga,30193,NUMA SALA DE REBOCO,Desconhecido
2628,Luiz Gonzaga,30541,PAGODE RUSSO,Desconhecido
2629,Luiz Gonzaga,30203,PARAÍBA MASCULINA,Desconhecido
2630,Luiz Gonzaga,30660,PROCURANDO TU,Desconhecido
2631,Luiz Gonzaga,30214,QUI NEM JILÓ,Desconhecido
2632,Luiz Gonzaga,03860,XOTE DAS MENINAS,Desconhecido
2633,Luiz Melodia,04084,JUVENTUDE TRANSVIADA,Desconhecido
2634,Luiz Vieira,03339,PAZ DO MEU AMOR,Desconhecido
2635,Luiza e Maurilio ft. Zé Neto e Cristiano,30848,S DE SAUDADE,Sertanejo
2636,Luiza Possi,07446,SEU NOME,Pop/Funk BR
2637,Luiza Possi,02840,TUDO CERTO,Pop/Funk BR
2638,Luiza Possi,06455,DIAS IGUAIS,Pop/Funk BR
2639,Luka,06637,TÔ NEM AÍ,Desconhecido
2640,Luka,06709,PORTA ABERTA,Desconhecido
2641,Lulu Santos,03504,ADIVINHA O QUÊ?,Desconhecido
2642,Lulu Santos,06084,APENAS MAIS UMA DE AMOR,Desconhecido
2643,Lulu Santos,03021,ASSIM CAMINHA A HUMANIDADE,Desconhecido
2644,Lulu Santos,03508,AVISO AOS NAVEGANTES,Desconhecido
2645,Lulu Santos,06327,CERTAS COISAS,Desconhecido
2646,Lulu Santos,03052,COMO UMA ONDA,Desconhecido
2647,Lulu Santos,03057,DE REPENTE CALIFÓRNIA,Desconhecido
2648,Lulu Santos,03477,MINHA VIDA,Desconhecido
2649,Lulu Santos,03255,SEREIA,Desconhecido
2650,Lulu Santos,03728,TÃO BEM,Desconhecido
2651,Lulu Santos,03939,TEMPOS MODERNOS,Desconhecido
2652,Lulu Santos,03730,TODA FORMA DE AMOR,Desconhecido
2653,Lulu Santos,01880,TUDO AZUL,Desconhecido
2654,Lulu Santos,03497,TUDO BEM,Desconhecido
2655,Lulu Santos,03279,UM CERTO ALGUÉM,Desconhecido
2656,Lulu Santos,33871,UM POR OUTRO,Desconhecido
2657,Lulu Santos,06802,A CURA,Desconhecido
2658,Lulu Santos,03462,CASA,Desconhecido
2659,Lulu Santos,03192,O ÚLTIMO ROMÂNTICO,Desconhecido
2660,Lulu Santos,06964,POP STAR,Desconhecido
2661,Lulu Santos,03278,TUDO COM VOCÊ,Desconhecido
2662,Lulu Santos,03642,TUDO IGUAL,Desconhecido
2663,Lulu Santos,03499,UM PRO OUTRO,Desconhecido
2664,Lupicínio Rodrigues,06449,CADEIRA VAZIA,Desconhecido
2665,Maiara e Maraisa,30391,COMÉ QUE LARGA DESSE TREM,Sertanejo
2666,Maiara e Maraisa,30619,CORAÇÃO INFECTADO,Sertanejo
2667,Maiara e Maraisa,33963,CRUZANDO OS DEDOS,Sertanejo
2668,Maiara e Maraisa,33658,DEZ POR CENTO,Sertanejo
2669,Maiara e Maraisa,33924,MEDO BOBO,Sertanejo
2670,Maiara e Maraisa,30254,MEXIDINHO,Sertanejo
